                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.58393,                 1.3798,                 1.2044,                 0.6147,                   0.75,                0.84083,                0.74847,                0.51029,                 2.7254,                 1.3024,               0.000376,               0.000376,               0.000376
                     36,                0.69623,                 1.3905,                 1.2106,                 0.6147,                   0.75,                0.84083,                0.74847,                0.51029,                 2.7254,                 1.3024,             0.00038128,             0.00038128,             0.00038128
                     37,                0.51238,                 1.3432,                 1.1767,                0.92008,                    0.5,                0.74625,                0.68557,                0.46969,                 2.7143,                 1.2222,             0.00038624,             0.00038624,             0.00038624
                     38,                0.54077,                 1.4715,                 1.2159,                0.92008,                    0.5,                0.74625,                0.68557,                0.46969,                 2.7143,                 1.2222,             0.00039086,             0.00039086,             0.00039086
                     39,                0.54199,                 1.2927,                 1.1155,                0.97735,                    0.5,                0.74625,                0.65296,                0.65425,                 2.7535,                 1.3241,             0.00039515,             0.00039515,             0.00039515
                     40,                0.55759,                 1.3765,                 1.1338,                0.97735,                    0.5,                0.74625,                0.65296,                0.65425,                 2.7535,                 1.3241,             0.00039911,             0.00039911,             0.00039911
                     41,                0.47417,                 1.2331,                 1.0916,                0.99751,                    0.5,                   0.92,                0.70935,                0.86034,                  2.671,                 1.5475,             0.00040275,             0.00040275,             0.00040275
                     42,                0.95544,                 1.7365,                  1.526,                0.99751,                    0.5,                   0.92,                0.70935,                0.86034,                  2.671,                 1.5475,             0.00040605,             0.00040605,             0.00040605
                     43,                0.55589,                 1.1803,                 1.0866,                0.96136,                0.95701,                  0.995,                0.75114,                0.94175,                 2.5412,                 1.5975,             0.00040902,             0.00040902,             0.00040902
                     44,                0.74042,                 1.4631,                 1.3834,                0.96136,                0.95701,                  0.995,                0.75114,                0.94175,                 2.5412,                 1.5975,             0.00041166,             0.00041166,             0.00041166
                     45,                0.49814,                 1.0665,                 1.1046,                0.76817,                0.91033,                  0.995,                0.69306,                0.93679,                 2.6153,                 1.5993,             0.00041398,             0.00041398,             0.00041398
                     46,                0.61595,                 1.3208,                 1.1548,                0.76817,                0.91033,                  0.995,                0.69306,                0.93679,                 2.6153,                 1.5993,             0.00041596,             0.00041596,             0.00041596
                     47,                 0.5728,                 1.1382,                 1.1666,                0.99293,                    0.5,                0.80536,                0.53661,                0.97412,                 2.6884,                 1.6222,             0.00041761,             0.00041761,             0.00041761
                     48,                0.76271,                 1.5003,                 1.3069,                0.99293,                    0.5,                0.80536,                0.53661,                0.97412,                 2.6884,                 1.6222,             0.00041893,             0.00041893,             0.00041893
                     49,                0.71223,                  1.327,                 1.2993,                 0.9943,                    0.5,                0.62187,                0.37344,                0.96907,                  2.823,                 1.6118,             0.00041992,             0.00041992,             0.00041992
                     50,                0.86052,                 1.8497,                 1.5706,                 0.9943,                    0.5,                0.62187,                0.37344,                0.96907,                  2.823,                 1.6118,             0.00042059,             0.00042059,             0.00042059
                     51,                0.57901,                  1.109,                 1.0689,                0.37167,                    0.5,                0.56408,                0.33434,                0.73991,                 2.8854,                 1.4678,             0.00042092,             0.00042092,             0.00042092
                     52,                0.47247,                 1.0664,                 1.1033,                0.37167,                    0.5,                0.56408,                0.33434,                0.73991,                 2.8854,                 1.4678,             0.00042092,             0.00042092,             0.00042092
                     53,                 0.7305,                 1.3037,                 1.2498,                0.37167,                    0.5,                0.56408,                0.33434,                0.73991,                 2.8854,                 1.4678,             0.00042059,             0.00042059,             0.00042059
                     54,                0.88873,                 1.7572,                 1.4524,                0.81745,                    0.5,                0.62358,                0.44351,                0.67787,                 2.7413,                   1.44,             0.00041993,             0.00041993,             0.00041993
                     55,                0.57227,                 1.2772,                 1.2336,                0.81745,                    0.5,                0.62358,                0.44351,                0.67787,                 2.7413,                   1.44,             0.00041894,             0.00041894,             0.00041894
                     56,                0.88144,                 1.8089,                 1.5284,                0.81745,                    0.5,                0.62358,                0.44351,                0.67787,                 2.7413,                   1.44,             0.00041763,             0.00041763,             0.00041763
                     57,                0.55588,                 1.1469,                 1.1978,                0.95663,                      1,                  0.995,                0.78449,                 0.7422,                 2.2114,                 1.5628,             0.00041598,             0.00041598,             0.00041598
                     58,                0.52879,                 1.1281,                 1.1606,                0.95663,                      1,                  0.995,                0.78449,                 0.7422,                 2.2114,                 1.5628,               0.000414,               0.000414,               0.000414
